TITLE;PRODUCTION_YEAR;SERIE_TITLE;SERIE_PROD_YEAR;SEASON_NR;EPISODE_NR;SERIES_YEARS;KIND;TITLELINK;PRODUCTIONYEARLINK;LINK;KEYWORD;NAME;GENDER;PERSON_INFO;INFO_CONTEXT;ROLE;ROLE_NAME;NOTE;NR_ORDER
The Disappearance of Garcia Lorca;1996;;;;;;movie;;;;action;Calvo, Jorge 1;m;Madrid, Spain;birth notes;miscellaneous crew;;(assistant location manager);
The Disappearance of Garcia Lorca;1996;;;;;;movie;;;;adult;Calvo, Jorge 1;m;Madrid, Spain;birth notes;miscellaneous crew;;(assistant location manager);
The Disappearance of Garcia Lorca;1996;;;;;;movie;;;;adventure;Calvo, Jorge 1;m;Madrid, Spain;birth notes;miscellaneous crew;;(assistant location manager);
The Disappearance of Garcia Lorca;1996;;;;;;movie;;;;family;Calvo, Jorge 1;m;Madrid, Spain;birth notes;miscellaneous crew;;(assistant location manager);
The Disappearance of Garcia Lorca;1996;;;;;;movie;;;;historic;Calvo, Jorge 1;m;Madrid, Spain;birth notes;miscellaneous crew;;(assistant location manager);
The Disappearance of Garcia Lorca;1996;;;;;;movie;;;;musical;Calvo, Jorge 1;m;Madrid, Spain;birth notes;miscellaneous crew;;(assistant location manager);
The Disappearance of Garcia Lorca;1996;;;;;;movie;;;;science-fiction;Calvo, Jorge 1;m;Madrid, Spain;birth notes;miscellaneous crew;;(assistant location manager);
The Disappearance of Garcia Lorca;1996;;;;;;movie;;;;thriller;Calvo, Jorge 1;m;Madrid, Spain;birth notes;miscellaneous crew;;(assistant location manager);
The Disappearance of Garcia Lorca;1996;;;;;;movie;;;;war;Calvo, Jorge 1;m;Madrid, Spain;birth notes;miscellaneous crew;;(assistant location manager);
El hermano pequeño;1999;Pepe Carvalho;1999;;;;episode;Alla ricerca di Sheherazade;1999;followed by;thriller;Cámara, Javier;m;19 January 1967;birth date;actor;Ventura Roses;;
El hermano pequeño;1999;Pepe Carvalho;1999;;;;episode;Il centravanti è stato assassinato verso sera;1999;followed by;thriller;Cámara, Javier;m;19 January 1967;birth date;actor;Ventura Roses;;
El hermano pequeño;1999;Pepe Carvalho;1999;;;;episode;La solitude du manager;1999;followed by;thriller;Cámara, Javier;m;19 January 1967;birth date;actor;Ventura Roses;;
El hermano pequeño;1999;Pepe Carvalho;1999;;;;episode;Alla ricerca di Sheherazade;1999;followed by;thriller;Cámara, Javier;m;Albelda de Iregua, La Rioja, Spain;birth notes;actor;Ventura Roses;;
El hermano pequeño;1999;Pepe Carvalho;1999;;;;episode;Il centravanti è stato assassinato verso sera;1999;followed by;thriller;Cámara, Javier;m;Albelda de Iregua, La Rioja, Spain;birth notes;actor;Ventura Roses;;
